filename,公司全称,公司简称,公司代码,公告名称,落款日期,业绩分类,审计机构,签字会计师,审计意见,"审计费用（万元）/
会计师事务所报酬",营业收入（单位：元）-本期数据,营业收入（单位：元）-上期数据,营业收入（单位：元）-同比变动比例（%）,"归属于上市公司股东的净利润
（单位：元）-本期数据","归属于上市公司股东的净利润
（单位：元）-上期数据","归属于上市公司股东的净利润
（单位：元）-同比变动比例（%）",归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-本期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-上期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-同比变动比例（%）,"总资产/资产总额
（单位：元）-本期数据","总资产/资产总额
（单位：元）-上期数据","总资产/资产总额
（单位：元）-同比变动比例（%）","归属于上市公司股东的净资产
（单位：元）-本期数据","归属于上市公司股东的净资产
（单位：元）-上期数据","归属于上市公司股东的净资产
（单位：元）-同比变动比例（%）",经营活动产生的现金流量净额-本期数据,经营活动产生的现金流量净额-上期数据,经营活动产生的现金流量净额-同比变动比例（%）,基本每股收益（元／股）-本期数据,基本每股收益（元／股）-上期数据,基本每股收益（元／股）-同比变动比例（%）,加权平均净资产收益率（%）-本期数据,加权平均净资产收益率（%）-上期数据,加权平均净资产收益率（%）-同比变动比例（%）,资产负债率,目录,利润分配预案/利润分配方案,语言,精排,篇幅页码,字数,净利润（本期数据）,净利润（上期数据）,本期数据,上期数据,同比变动比例（%）,负债合计（本期数据）,负债和所有者权益（或股东权益）总计（本期数据）,董事会决议通过的本报告期利润分配预案或公积金转增股本预案,经本次董事会审议通过的利润分配预案为：,年度利润分配方案如下：
145996607_2025-10-16_航天发展：2025年半年度报告.pdf,航天工业发展股份有限公司,航天发展,000547,航天工业发展股份有限公司2025年半年度报告,2025-08-22,亏损,未找到,未找到,未找到,未找到,689123003.44,864149516.84,-20.25%,-378363483.93,-363623739.49,-4.05%,-386338262.50,-380447942.38,-1.55%,10661255771.27,11338738911.98,-5.97%,4811894365.70,5188954276.93,-7.27%,-229003326.31,-304795748.85,24.87%,-0.24,-0.23,-4.35%,-7.57%,-5.44%,下降2.13个百分点,46.94%,第一节 重要提示、目录和释义;第二节 公司简介和主要财务指标;第三节 管理层讨论与分析;第四节 公司治理、环境和社会;第五节 重要事项;第六节 股份变动及股东情况;第七节 债券相关情况;第八节 财务报告;第九节 其他报送数据,公司计划半年度不派发现金红利，不送红股，不以公积金转增股本。,中文,是,156,121350,-425909228.26,-398028062.23,未找到,未找到,未找到,5504417563.30,10661255771.27,公司计划半年度不派发现金红利，不送红股，不以公积金转增股本。,未找到,未找到
145996628_2025-10-16_天安新材2025年第三季度报告.pdf,广东天安新材料股份有限公司,天安新材,603725,广东天安新材料股份有限公司2025年第三季度报告,2025-10-17,同比增长,未找到,未找到,未找到,未找到,"2,273,406,228.98","2,197,183,861.08",3.47,"97,539,743.43","80,297,445.75",21.47,"95,078,864.41","72,460,879.02",31.07,"3,033,556,962.83","2,853,521,176.04",6.31,"827,376,756.96","759,957,749.53",8.87,"161,375,859.60","175,472,804.26",-8.03,0.324,0.267,21.35,12.32,11.01,增加1.31个百分点,67.43%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,10744,"112,131,910.37","99,973,838.36",未找到,未找到,未找到,"2,045,952,748.00","3,033,556,962.83",未找到,未找到,未找到
145996690_2025-10-16_春风动力2025年第三季度报告.pdf,浙江春风动力股份有限公司,春风动力,603129,浙江春风动力股份有限公司2025年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,"14,896,332,446.98","11,450,034,191.43",30.10,"1,415,369,548.15","1,081,313,321.87",30.89,"1,350,332,900.52","1,050,000,000.00",28.61,"18,167,917,367.26","14,900,162,628.85",21.93,"7,202,540,411.44","6,194,046,198.66",16.28,"3,207,611,143.97","2,246,204,215.40",42.80,9.29,7.16,29.75,19.89,19.76,0.13,59.15%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,11,9476,"1,482,963,959.31","1,123,859,963.29",未找到,未找到,未找到,"10,742,764,056.45","18,167,917,367.26",未找到,未找到,未找到
145996890_2025-10-16_福耀玻璃2025年第三季度报告.pdf,福耀玻璃工业集团股份有限公司,福耀玻璃,600660,福耀玻璃工业集团股份有限公司2025年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,"33,301,907,930","28,313,511,824",17.62,"7,063,854,155","5,478,784,237",28.93,"6,921,634,077","5,552,010,000",24.70,"70,641,939,363","63,254,182,536",11.68,"35,473,992,872","35,694,366,243",-0.62,"9,884,629,654","6,284,478,745",57.29,2.71,2.10,29.05,19.35,16.98,增加2.35个百分点,50.00%,一、主要财务数据;二、股东信息;三、其他提醒事项;四、季度财务报表,未找到,中文,否,15,13050,"7,067,671,152","5,483,021,139",未找到,未找到,未找到,"35,172,926,559","70,641,939,363",未找到,未找到,未找到
145997504_2025-10-16_2025年第三季度报告.pdf,河南仕佳光子科技股份有限公司,仕佳光子,688313,河南仕佳光子科技股份有限公司2025年第三季度报告,2025-10-17,同比增长,未找到,未找到,未找到,未找到,1560437436.14,729306738.13,113.96,299717803.45,36209033.27,727.74,296555560.41,24500000.00,1110.43,2548425253.78,1782151776.79,43.00,1476115788.68,1198593410.18,23.15,-45567903.62,3655172.02,-1336.67,0.6631,0.0801,727.84,22.34,3.15,19.19,42.07%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,10128,299717803.45,36209033.27,未找到,未找到,未找到,1072309465.10,2548425253.78,未找到,未找到,未找到
145998097_2025-10-17_2025年第三季度报告.pdf,宁波金田铜业（集团）股份有限公司,金田股份,601609,宁波金田铜业（集团）股份有限公司2025年第三季度报告,2025-10-17,同比增长,未找到,未找到,未找到,未找到,"32,471,398,997.99",未找到,-4.42,"215,056,768.01",未找到,30.30,"136,998,402.49",未找到,"1,326.18","28,789,980,326.80","25,802,147,560.79",11.58,"10,176,174,772.22","8,345,094,263.85",21.94,"-1,200,890,571.85","-323,578,069.19",未找到,0.14,未找到,16.67,2.36,未找到,增加0.36个百分点,63.77%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;（一）关于“金田转债”情况;（二）关于“金铜转债”情况;（三）关于回购公司股份情况;（四）关于控股股东增持情况;（五）关于监事会取消及制度修订情况;（六）关于员工持股计划情况;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,是,21,18977,"600,489,377.32","288,346,668.93",未找到,未找到,未找到,"18,371,841,685.45","28,789,980,326.80",未找到,未找到,未找到
145998163_2025-10-17_腾景科技2025年第三季度报告.pdf,腾景科技股份有限公司,腾景科技,688195,腾景科技股份有限公司2025年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,162253874.81,未找到,34.83,27213666.02,未找到,20.11,26646645.53,未找到,19.52,1409418551.70,1299206049.14,8.48,965764614.12,921357359.27,4.82,不适用,不适用,不适用,0.21,未找到,16.67,2.86,未找到,增加0.41个百分点,27.87%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9400,66167880.89,55074128.77,未找到,未找到,未找到,392786482.31,1409418551.70,未找到,未找到,未找到
145998251_2025-10-17_萤石网络第三季度报告.pdf,杭州萤石网络股份有限公司,萤石网络,688475,杭州萤石网络股份有限公司2025年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,"4,292,870,399.73","3,962,645,501.38",8.33,"422,313,004.87","374,776,500.83",12.68,"390,818,870.75","367,960,000.00",6.22,"8,530,448,536.51","8,353,718,200.43",2.12,"5,643,165,464.84","5,493,265,544.50",2.73,"510,118,494.73","131,165,343.30",288.91,0.54,0.48,12.50,7.56,7.03,增加0.53个百分点,33.85%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,9251,"422,313,004.87","374,776,500.83",未找到,未找到,未找到,"2,887,283,071.67","8,530,448,536.51",未找到,未找到,未找到
145998288_2025-10-17_2025年第三季度报告.pdf,浙江嘉澳环保科技股份有限公司,嘉澳环保,603822,浙江嘉澳环保科技股份有限公司2025年第三季度报告,2025-10-18,扭亏为盈,未找到,未找到,未找到,未找到,3004848264.76,1038335495.45,189.39,-25365865.15,-139873908.22,未找到,未找到,未找到,未找到,7002706467.56,5956015533.61,17.57,446716504.98,613800122.90,-27.22,107072053.21,125899021.75,-14.95%,-0.3302,-1.8129,未找到,-4.86,未找到,未找到,81.06%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,12,8941,59554495.16,-141290087.35,未找到,未找到,未找到,5676460525.47,7002706467.56,未找到,未找到,未找到
145998430_2025-10-17_东尼电子2025年第三季度报告.pdf,浙江东尼电子股份有限公司,东尼电子,603595,浙江东尼电子股份有限公司2025年第三季度报告,2025-10-18,亏损,未找到,未找到,未找到,未找到,"1,457,383,135.96","1,435,837,759.80",1.50,"-14,605,086.69","-42,606,664.38",65.72,"-27,670,555.83","-27,670,555.83",72.03,"4,938,961,830.58","5,087,787,899.74",-2.93,"1,545,856,523.20","1,563,948,245.01",-1.16,"190,236,507.96","684,019,760.65",-72.19,-0.06,-0.18,66.67,-0.94,-2.78,增加1.84个百分点,67.38%,重要内容提示;一、主要财务数据;二、股东信息;三、其他提醒事项;四、季度财务报表,未找到,中文,否,10,8745,"-46,546,181.16","-96,878,156.90",未找到,未找到,未找到,"3,237,527,918.83","4,938,961,830.58",未找到,未找到,未找到
145998464_2025-10-17_2025年第三季度报告.pdf,三棵树涂料股份有限公司,三棵树,603737,三棵树涂料股份有限公司2025年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,"9,391,516,705.18","9,145,606,838.66",2.69,"743,608,254.85","410,336,003.21",81.22,"564,557,514.84","250,820,782.81",126.37,"14,194,802,456.79","13,992,869,789.47",1.44,"3,247,927,985.78","2,685,997,217.03",20.92,"1,087,759,636.42","916,126,466.13",18.73,1.01,0.56,80.36,24.92,14.7,9.22,75.81%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,11,9784,"731,407,689.01","406,064,712.90",未找到,未找到,未找到,"10,757,807,438.61","14,194,802,456.79",未找到,未找到,未找到
145998500_2025-10-17_2025年第三季度报告.pdf,神通科技集团股份有限公司,神通科技,605228,神通科技集团股份有限公司2025年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,"486,234,358.75",未找到,61.66,"48,988,177.83",未找到,452.62,"48,480,724.75",未找到,440.01,"2,994,370,606.22","2,818,547,984.21",6.24,"1,673,966,647.34","1,493,307,034.83",12.10,"171,565,096.81","32,622,223.93",425.91,0.27,0.04,575.00,7.18,未找到,增加6.12个百分点,44.10%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,13,10253,"113,266,148.96","16,557,784.87",未找到,未找到,未找到,"1,320,403,958.88","2,994,370,606.22",未找到,未找到,未找到
145998575_2025-10-17_漳州片仔癀药业股份有限公司2025年第三季度报告.pdf,漳州片仔癀药业股份有限公司,片仔癀,600436,漳州片仔癀药业股份有限公司2025年第三季度报告,2025-10-16,同比下降,未找到,未找到,未找到,未找到,"7,442,366,108.35","8,450,322,100.75",-11.93,"2,129,347,677.38","2,686,684,743.25",-20.74,"1,890,645,408.72","2,718,232,000.00",-30.38,"17,478,745,955.95","17,539,661,657.50",-0.35,"14,472,249,712.84","14,271,727,825.79",1.41,"486,737,382.18","1,298,895,965.56",-62.53,3.53,4.45,-20.67,14.31,18.92,下降4.61个百分点,14.06%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,18,13534,"2,133,306,164.55","2,717,761,870.21",未找到,未找到,未找到,"2,438,081,331.03","17,478,745,955.95",未找到,未找到,未找到
145998626_2025-10-17_2025年第三季度报告.pdf,福建龙净环保股份有限公司,龙净环保,600388,福建龙净环保股份有限公司2025年第三季度报告,2025-10-18,同比增长,未找到,未找到,未找到,未找到,"7,858,088,585.25","6,654,268,804.54",18.09,"780,385,183.56","647,445,508.65",20.53,"737,994,837.08","582,000,000.00",26.19,"28,423,870,508.63","26,792,319,059.54",6.09,"10,632,302,675.73","10,173,175,507.22",4.51,"764,262,720.06","1,164,455,166.58",-34.37,0.61,0.60,1.67,7.52,8.14,-7.62,62.01%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,10,9783,"784,689,530.60","648,971,078.57",未找到,未找到,未找到,"17,624,956,925.46","28,423,870,508.63",未找到,未找到,未找到
